nboletahogar,nlinea,parentesco,sexo,edad,embarazada_lactante,sabe_leer,asistido_escuela_vez,estudiando_actual,grado_estudio,grado_estudio_an,ocupacion
GHCUES0269,3,3-Hijo,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0269,4,3-Hijo,2-Mujer,15,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0270,1,1-Jefe del hogar,1-Hombre,33,,01-Si,01-Si,02-No,2-Secundaria,3,18- Obrero especializado de fábrica
GHCUES0270,2,2-Esposa/esposo,2-Mujer,28,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,09- Trabajador en oficios domésticos
GHCUES0270,3,3-Hijo,1-Hombre,11,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0270,4,3-Hijo,1-Hombre,7,,02-No,01-Si,01-Si,0-Ninguno,0,
GHCUES0271,1,1-Jefe del hogar,1-Hombre,30,,01-Si,01-Si,01-Si,3-Superior/universitaria,1,21- Empleado especializado público o privado
GHCUES0271,2,2-Esposa/esposo,2-Mujer,26,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0271,3,3-Hijo,1-Hombre,6,,,,,,,
GHCUES0271,4,3-Hijo,2-Mujer,2,4-No aplica,,,,,,
GHCUES0271,5,3-Hijo,2-Mujer,0,4-No aplica,,,,,,
GHCUES0272,1,1-Jefe del hogar,2-Mujer,57,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,24- Jubilado
GHCUES0272,2,3-Hijo,2-Mujer,23,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,4,22- Profesional
GHCUES0272,3,5-Nieto,1-Hombre,1,,,,,,,
GHCUES0273,1,1-Jefe del hogar,2-Mujer,60,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,19- Obrero especializado independiente
GHCUES0274,1,1-Jefe del hogar,1-Hombre,42,,01-Si,01-Si,02-No,2-Secundaria,6,15- Comerciante fijo en la comunidad
GHCUES0274,2,2-Esposa/esposo,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,15- Comerciante fijo en la comunidad
GHCUES0274,3,3-Hijo,2-Mujer,9,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0274,4,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0276,1,1-Jefe del hogar,1-Hombre,42,,01-Si,01-Si,02-No,3-Superior/universitaria,5,22- Profesional
GHCUES0276,2,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,1-Primaria,6,07 - Escolar / estudiante
GHCUES0276,3,12-No hay parentesco,1-Hombre,33,,01-Si,01-Si,02-No,3-Superior/universitaria,5,22- Profesional
GHCUES0278,1,1-Jefe del hogar,1-Hombre,31,,01-Si,01-Si,02-No,2-Secundaria,5,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0278,2,2-Esposa/esposo,2-Mujer,30,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,6,15- Comerciante fijo en la comunidad
GHCUES0278,3,3-Hijo,2-Mujer,8,,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0278,4,3-Hijo,1-Hombre,1,,,,,,,
GHCUES0279,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,2-Secundaria,6,15- Comerciante fijo en la comunidad
GHCUES0279,2,2-Esposa/esposo,2-Mujer,31,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,2,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0279,3,3-Hijo,1-Hombre,13,,01-Si,01-Si,01-Si,1-Primaria,6,
GHCUES0279,4,3-Hijo,2-Mujer,12,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0279,5,3-Hijo,1-Hombre,1,,,,,,,
GHCUES0280,1,1-Jefe del hogar,1-Hombre,36,,01-Si,01-Si,02-No,2-Secundaria,3,15- Comerciante fijo en la comunidad
GHCUES0280,2,2-Esposa/esposo,2-Mujer,26,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0280,3,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0280,4,3-Hijo,2-Mujer,0,4-No aplica,,,,,,
GHCUES0281,1,1-Jefe del hogar,1-Hombre,65,,01-Si,01-Si,02-No,2-Secundaria,6,24- Jubilado
GHCUES0281,2,2-Esposa/esposo,2-Mujer,61,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,24- Jubilado
GHCUES0283,1,1-Jefe del hogar,1-Hombre,63,,01-Si,01-Si,02-No,1-Primaria,4,19- Obrero especializado independiente
GHCUES0283,2,2-Esposa/esposo,2-Mujer,53,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0283,3,3-Hijo,2-Mujer,16,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,4,07 - Escolar / estudiante
GHCUES0284,1,1-Jefe del hogar,1-Hombre,26,,01-Si,01-Si,01-Si,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0284,2,2-Esposa/esposo,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,5,06 - Ama de casa
GHCUES0284,3,3-Hijo,1-Hombre,2,,,,,,,
GHCUES0284,4,6-Padre/madre,2-Mujer,50,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,5,13- Comerciante de la producción manufacturera casera familiar
GHCUES0284,5,8-Hermano/a,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,09- Trabajador en oficios domésticos
GHCUES0285,1,1-Jefe del hogar,2-Mujer,46,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0285,2,3-Hijo,2-Mujer,26,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,5,07 - Escolar / estudiante
GHCUES0285,3,3-Hijo,2-Mujer,25,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0286,1,1-Jefe del hogar,2-Mujer,35,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0286,2,3-Hijo,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,2,
GHCUES0286,3,3-Hijo,1-Hombre,13,,01-Si,01-Si,01-Si,1-Primaria,6,
GHCUES0286,4,3-Hijo,1-Hombre,0,,,,,,,
GHCUES0287,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,3-Superior/universitaria,3,21- Empleado especializado público o privado
GHCUES0287,2,2-Esposa/esposo,2-Mujer,38,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,3,21- Empleado especializado público o privado
GHCUES0287,3,3-Hijo,1-Hombre,12,,01-Si,01-Si,01-Si,1-Primaria,5,
GHCUES0287,4,3-Hijo,2-Mujer,8,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0289,1,1-Jefe del hogar,1-Hombre,48,,01-Si,01-Si,02-No,2-Secundaria,6,19- Obrero especializado independiente
GHCUES0289,2,2-Esposa/esposo,2-Mujer,33,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0289,3,3-Hijo,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0289,4,3-Hijo,2-Mujer,4,4-No aplica,,,,,,
GHCUES0289,5,6-Padre/madre,2-Mujer,75,4-No aplica,01-Si,01-Si,02-No,1-Primaria,3,24- Jubilado
GHCUES0291,1,1-Jefe del hogar,1-Hombre,34,,01-Si,01-Si,02-No,3-Superior/universitaria,2,21- Empleado especializado público o privado
GHCUES0291,2,2-Esposa/esposo,2-Mujer,38,2-Lactante,01-Si,01-Si,02-No,3-Superior/universitaria,5,21- Empleado especializado público o privado
GHCUES0291,3,3-Hijo,1-Hombre,4,,,,,,,
GHCUES0293,1,1-Jefe del hogar,1-Hombre,46,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0293,2,8-Hermano/a,2-Mujer,47,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,5,00-Ninguna
GHCUES0293,3,9-Otro familiar,1-Hombre,23,,01-Si,01-Si,01-Si,3-Superior/universitaria,4,07 - Escolar / estudiante
GHCUES0293,4,9-Otro familiar,1-Hombre,22,,01-Si,01-Si,01-Si,3-Superior/universitaria,4,07 - Escolar / estudiante
GHCUES0294,1,1-Jefe del hogar,1-Hombre,26,,01-Si,01-Si,02-No,2-Secundaria,5,18- Obrero especializado de fábrica
GHCUES0294,2,2-Esposa/esposo,2-Mujer,36,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0294,3,3-Hijo,1-Hombre,16,,01-Si,01-Si,01-Si,2-Secundaria,4,07 - Escolar / estudiante
GHCUES0294,4,3-Hijo,2-Mujer,14,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,1,
GHCUES0294,5,3-Hijo,1-Hombre,9,,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0294,6,3-Hijo,2-Mujer,2,4-No aplica,,,,,,
GHCUES0295,1,1-Jefe del hogar,1-Hombre,34,,01-Si,01-Si,02-No,1-Primaria,6,20- Empleado de fuerzas de seguridad
GHCUES0295,2,2-Esposa/esposo,2-Mujer,43,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0295,3,3-Hijo,2-Mujer,5,4-No aplica,,,,,,
GHCUES0296,1,1-Jefe del hogar,1-Hombre,19,,01-Si,01-Si,02-No,2-Secundaria,6,96-Otros
GHCUES0296,2,9-Otro familiar,1-Hombre,18,,01-Si,01-Si,02-No,9-No sabe,8,96-Otros
GHCUES0299,1,1-Jefe del hogar,2-Mujer,54,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,2,06 - Ama de casa
GHCUES0299,2,5-Nieto,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,1,07 - Escolar / estudiante
GHCUES0299,3,5-Nieto,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0300,1,1-Jefe del hogar,1-Hombre,35,,01-Si,01-Si,01-Si,3-Superior/universitaria,5,22- Profesional
GHCUES0300,2,2-Esposa/esposo,2-Mujer,36,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0300,3,3-Hijo,2-Mujer,0,4-No aplica,,,,,,
GHCUES0300,4,3-Hijo,1-Hombre,0,,,,,,,
GHCUES0301,1,1-Jefe del hogar,1-Hombre,29,,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0301,2,2-Esposa/esposo,2-Mujer,31,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0302,1,1-Jefe del hogar,1-Hombre,44,,01-Si,01-Si,02-No,1-Primaria,6,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0302,2,2-Esposa/esposo,2-Mujer,28,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,1,06 - Ama de casa
GHCUES0302,3,3-Hijo,1-Hombre,11,,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0302,4,3-Hijo,1-Hombre,9,,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0302,5,3-Hijo,2-Mujer,6,4-No aplica,01-Si,01-Si,01-Si,0-Ninguno,0,
GHCUES0303,1,1-Jefe del hogar,1-Hombre,93,,02-No,02-No,,,,24- Jubilado
GHCUES0303,2,2-Esposa/esposo,2-Mujer,73,4-No aplica,01-Si,01-Si,02-No,1-Primaria,2,15- Comerciante fijo en la comunidad
GHCUES0304,1,1-Jefe del hogar,1-Hombre,48,,01-Si,01-Si,02-No,2-Secundaria,6,00-Ninguna
GHCUES0304,2,2-Esposa/esposo,2-Mujer,42,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0304,3,3-Hijo,1-Hombre,22,,01-Si,01-Si,02-No,2-Secundaria,5,00-Ninguna
GHCUES0304,4,3-Hijo,1-Hombre,18,,01-Si,01-Si,02-No,2-Secundaria,3,07 - Escolar / estudiante
GHCUES0306,1,1-Jefe del hogar,1-Hombre,30,,01-Si,01-Si,02-No,3-Superior/universitaria,4,21- Empleado especializado público o privado
GHCUES0306,2,2-Esposa/esposo,2-Mujer,31,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0306,3,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0307,1,1-Jefe del hogar,1-Hombre,54,,01-Si,01-Si,02-No,1-Primaria,6,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0307,2,2-Esposa/esposo,2-Mujer,51,4-No aplica,01-Si,01-Si,02-No,3-Superior/universitaria,3,21- Empleado especializado público o privado
GHCUES0307,3,3-Hijo,1-Hombre,28,,01-Si,01-Si,01-Si,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0307,4,3-Hijo,2-Mujer,26,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,6,07 - Escolar / estudiante
GHCUES0308,1,1-Jefe del hogar,1-Hombre,51,,01-Si,01-Si,02-No,2-Secundaria,3,15- Comerciante fijo en la comunidad
GHCUES0308,2,2-Esposa/esposo,2-Mujer,53,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0308,3,3-Hijo,2-Mujer,18,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,09- Trabajador en oficios domésticos
GHCUES0308,4,3-Hijo,2-Mujer,41,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,5,06 - Ama de casa
GHCUES0308,5,5-Nieto,2-Mujer,12,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,6,
GHCUES0309,1,1-Jefe del hogar,2-Mujer,66,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,2,06 - Ama de casa
GHCUES0311,1,1-Jefe del hogar,1-Hombre,68,,01-Si,01-Si,02-No,2-Secundaria,2,15- Comerciante fijo en la comunidad
GHCUES0313,1,1-Jefe del hogar,1-Hombre,76,,01-Si,01-Si,02-No,1-Primaria,6,00-Ninguna
GHCUES0313,2,3-Hijo,1-Hombre,41,,01-Si,01-Si,02-No,2-Secundaria,3,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0314,1,1-Jefe del hogar,1-Hombre,57,,01-Si,01-Si,02-No,2-Secundaria,5,24- Jubilado
GHCUES0314,2,2-Esposa/esposo,2-Mujer,46,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,5,15- Comerciante fijo en la comunidad
GHCUES0314,3,3-Hijo,2-Mujer,16,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,4,07 - Escolar / estudiante
GHCUES0314,4,7-Suegro/a,1-Hombre,72,,01-Si,01-Si,02-No,1-Primaria,6,24- Jubilado
GHCUES0314,5,12-No hay parentesco,1-Hombre,26,,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0315,1,1-Jefe del hogar,1-Hombre,64,,01-Si,01-Si,02-No,2-Secundaria,6,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0315,2,2-Esposa/esposo,2-Mujer,63,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0316,1,1-Jefe del hogar,2-Mujer,65,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0316,2,8-Hermano/a,2-Mujer,50,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0316,3,9-Otro familiar,1-Hombre,29,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0316,4,9-Otro familiar,2-Mujer,29,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0316,5,9-Otro familiar,1-Hombre,5,,,,,,,
GHCUES0317,1,1-Jefe del hogar,1-Hombre,37,,01-Si,01-Si,02-No,3-Superior/universitaria,5,21- Empleado especializado público o privado
GHCUES0317,2,2-Esposa/esposo,2-Mujer,38,3-No embarazada ni lactante,01-Si,01-Si,02-No,3-Superior/universitaria,2,21- Empleado especializado público o privado
GHCUES0317,3,3-Hijo,1-Hombre,12,,01-Si,01-Si,02-No,2-Secundaria,1,
GHCUES0317,4,3-Hijo,1-Hombre,9,,01-Si,01-Si,02-No,1-Primaria,3,
GHCUES0317,5,6-Padre/madre,2-Mujer,58,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,06 - Ama de casa
GHCUES0321,1,1-Jefe del hogar,2-Mujer,65,4-No aplica,01-Si,01-Si,02-No,1-Primaria,3,19- Obrero especializado independiente
GHCUES0321,2,3-Hijo,2-Mujer,48,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,6,18- Obrero especializado de fábrica
GHCUES0321,3,4-Yerno/nuera,1-Hombre,48,,01-Si,01-Si,02-No,2-Secundaria,5,06 - Ama de casa
GHCUES0321,4,5-Nieto,1-Hombre,23,,01-Si,01-Si,02-No,1-Primaria,6,08 - Jornalero no agrícola
GHCUES0321,5,5-Nieto,1-Hombre,15,,01-Si,01-Si,02-No,1-Primaria,5,23- Enfermo
GHCUES0322,1,1-Jefe del hogar,1-Hombre,45,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0322,2,2-Esposa/esposo,2-Mujer,32,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,3,09- Trabajador en oficios domésticos
GHCUES0322,3,3-Hijo,2-Mujer,8,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0322,4,3-Hijo,2-Mujer,3,4-No aplica,,,,,,
GHCUES0323,1,1-Jefe del hogar,1-Hombre,82,,01-Si,01-Si,02-No,1-Primaria,4,00-Ninguna
GHCUES0323,2,2-Esposa/esposo,2-Mujer,79,4-No aplica,01-Si,01-Si,02-No,1-Primaria,2,06 - Ama de casa
GHCUES0323,3,3-Hijo,2-Mujer,44,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0323,4,3-Hijo,2-Mujer,54,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0323,5,5-Nieto,1-Hombre,29,,01-Si,01-Si,01-Si,3-Superior/universitaria,5,21- Empleado especializado público o privado
GHCUES0323,6,5-Nieto,2-Mujer,26,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,6,21- Empleado especializado público o privado
GHCUES0323,7,5-Nieto,2-Mujer,19,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,2,21- Empleado especializado público o privado
GHCUES0323,8,5-Nieto,2-Mujer,17,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,5,07 - Escolar / estudiante
GHCUES0323,9,3-Hijo,2-Mujer,51,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0323,10,5-Nieto,2-Mujer,24,3-No embarazada ni lactante,01-Si,01-Si,01-Si,3-Superior/universitaria,6,07 - Escolar / estudiante
GHCUES0323,11,5-Nieto,1-Hombre,21,,01-Si,01-Si,01-Si,3-Superior/universitaria,1,21- Empleado especializado público o privado
GHCUES0324,1,1-Jefe del hogar,1-Hombre,85,,01-Si,01-Si,02-No,1-Primaria,2,24- Jubilado
GHCUES0324,2,2-Esposa/esposo,2-Mujer,71,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0326,1,1-Jefe del hogar,2-Mujer,52,4-No aplica,01-Si,01-Si,01-Si,3-Superior/universitaria,3,09- Trabajador en oficios domésticos
GHCUES0326,2,3-Hijo,1-Hombre,30,,01-Si,01-Si,01-Si,3-Superior/universitaria,3,21- Empleado especializado público o privado
GHCUES0326,3,3-Hijo,1-Hombre,29,,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0328,1,1-Jefe del hogar,1-Hombre,45,,01-Si,01-Si,02-No,3-Superior/universitaria,2,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0328,2,2-Esposa/esposo,2-Mujer,39,2-Lactante,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0328,3,3-Hijo,1-Hombre,16,,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0328,4,3-Hijo,2-Mujer,7,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,1,
GHCUES0328,5,3-Hijo,2-Mujer,5,4-No aplica,,,,,,
GHCUES0328,6,3-Hijo,2-Mujer,2,4-No aplica,,,,,,
GHCUES0329,1,1-Jefe del hogar,1-Hombre,39,,01-Si,01-Si,02-No,1-Primaria,6,19- Obrero especializado independiente
GHCUES0329,2,2-Esposa/esposo,2-Mujer,37,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0329,3,3-Hijo,2-Mujer,18,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,6,07 - Escolar / estudiante
GHCUES0329,4,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,4,07 - Escolar / estudiante
GHCUES0329,5,3-Hijo,2-Mujer,13,3-No embarazada ni lactante,01-Si,01-Si,01-Si,2-Secundaria,2,
GHCUES0329,6,7-Suegro/a,1-Hombre,65,,01-Si,01-Si,02-No,,,24- Jubilado
GHCUES0329,7,7-Suegro/a,2-Mujer,65,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,3,06 - Ama de casa
GHCUES0329,8,12-No hay parentesco,2-Mujer,42,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
GHCUES0331,1,1-Jefe del hogar,1-Hombre,79,,01-Si,01-Si,02-No,1-Primaria,4,09- Trabajador en oficios domésticos
GHCUES0332,1,1-Jefe del hogar,1-Hombre,36,,01-Si,01-Si,02-No,3-Superior/universitaria,4,15- Comerciante fijo en la comunidad
GHCUES0332,2,2-Esposa/esposo,2-Mujer,36,4-No aplica,01-Si,01-Si,02-No,3-Superior/universitaria,5,22- Profesional
GHCUES0334,1,1-Jefe del hogar,2-Mujer,64,4-No aplica,01-Si,01-Si,02-No,3-Superior/universitaria,6,22- Profesional
GHCUES0334,2,3-Hijo,1-Hombre,98,,01-Si,01-Si,02-No,3-Superior/universitaria,6,96-Otros
GHCUES0334,3,4-Yerno/nuera,2-Mujer,98,4-No aplica,01-Si,01-Si,02-No,3-Superior/universitaria,6,22- Profesional
GHCUES0334,4,6-Padre/madre,2-Mujer,83,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0335,1,1-Jefe del hogar,2-Mujer,40,3-No embarazada ni lactante,01-Si,01-Si,02-No,1-Primaria,2,19- Obrero especializado independiente
GHCUES0335,2,3-Hijo,1-Hombre,15,,01-Si,01-Si,01-Si,1-Primaria,5,08 - Jornalero no agrícola
GHCUES0335,3,3-Hijo,1-Hombre,13,,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0335,4,3-Hijo,2-Mujer,12,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0335,5,3-Hijo,1-Hombre,10,,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0336,1,1-Jefe del hogar,1-Hombre,27,,01-Si,01-Si,02-No,2-Secundaria,5,19- Obrero especializado independiente
GHCUES0336,2,8-Hermano/a,1-Hombre,23,,01-Si,01-Si,02-No,2-Secundaria,5,08 - Jornalero no agrícola
GHCUES0336,3,8-Hermano/a,1-Hombre,17,,01-Si,01-Si,01-Si,2-Secundaria,5,07 - Escolar / estudiante
GHCUES0336,4,9-Otro familiar,1-Hombre,23,,01-Si,01-Si,02-No,2-Secundaria,6,18- Obrero especializado de fábrica
GHCUES0339,1,1-Jefe del hogar,2-Mujer,98,4-No aplica,01-Si,01-Si,02-No,,,09- Trabajador en oficios domésticos
GHCUES0339,2,9-Otro familiar,2-Mujer,26,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,4,09- Trabajador en oficios domésticos
GHCUES0340,1,1-Jefe del hogar,1-Hombre,67,,02-No,02-No,,,,19- Obrero especializado independiente
GHCUES0340,2,2-Esposa/esposo,2-Mujer,64,4-No aplica,01-Si,01-Si,02-No,1-Primaria,3,06 - Ama de casa
GHCUES0340,3,3-Hijo,1-Hombre,35,,01-Si,01-Si,02-No,2-Secundaria,3,19- Obrero especializado independiente
GHCUES0340,4,3-Hijo,1-Hombre,33,,01-Si,01-Si,02-No,2-Secundaria,3,18- Obrero especializado de fábrica
GHCUES0340,5,5-Nieto,1-Hombre,5,,,,,,,
GHCUES0340,6,5-Nieto,2-Mujer,9,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0340,7,5-Nieto,2-Mujer,13,3-No embarazada ni lactante,01-Si,01-Si,01-Si,1-Primaria,6,
GHCUES0340,8,3-Hijo,2-Mujer,31,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,2,"17- Obrero no-especializado de fábrica o granja, despachador, vigilante, mensajero, chofer"
GHCUES0340,9,4-Yerno/nuera,1-Hombre,31,,01-Si,01-Si,02-No,1-Primaria,6,18- Obrero especializado de fábrica
GHCUES0340,10,5-Nieto,1-Hombre,9,,01-Si,01-Si,01-Si,1-Primaria,3,
GHCUES0340,11,5-Nieto,2-Mujer,8,4-No aplica,01-Si,01-Si,01-Si,1-Primaria,2,
GHCUES0342,1,1-Jefe del hogar,2-Mujer,65,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0342,2,3-Hijo,2-Mujer,38,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0342,3,5-Nieto,1-Hombre,17,,01-Si,01-Si,02-No,2-Secundaria,5,00-Ninguna
GHCUES0342,4,5-Nieto,1-Hombre,13,,01-Si,01-Si,01-Si,1-Primaria,4,
GHCUES0342,5,8-Hermano/a,2-Mujer,86,4-No aplica,01-Si,01-Si,02-No,1-Primaria,6,00-Ninguna
GHCUES0344,1,1-Jefe del hogar,1-Hombre,47,,01-Si,01-Si,02-No,2-Secundaria,5,21- Empleado especializado público o privado
GHCUES0344,2,8-Hermano/a,2-Mujer,48,3-No embarazada ni lactante,01-Si,01-Si,02-No,2-Secundaria,6,06 - Ama de casa
GHCUES0344,3,9-Otro familiar,1-Hombre,15,,01-Si,01-Si,01-Si,2-Secundaria,2,07 - Escolar / estudiante
GHCUES0344,4,6-Padre/madre,2-Mujer,73,4-No aplica,01-Si,01-Si,02-No,2-Secundaria,6,21- Empleado especializado público o privado
