nboletahogar,notabletahogar,mujerelegible,ninoelegible,ninoadoleselegible,yodo_mg_kg,obs_yodosal,retinol_mg_kg,obs_retinol_azuc,hierro_mg_kg,conglomerado,gps_altitud,ruralurbano,departamento,nlinea_informante,fecha_entrevista,resultado_entrevista1,resultado_entrevista_otro1,resultado_entrevista2,resultado_entrevista_otro2,resultado_entrevista3,resultado_entrevista_otro3,idioma_entrevista,uso_interprete,idioma_materno,hora_inicial1,hora_inicial2,hora_inicial3,hora_final1,hora_final2,hora_final3,num_miembros_hogar,vivienda_propriedad,vivienda_propriedad_o,vivienda_material_pared,vivienda_material_pared_o,vivienda_material_techo,vivienda_material_techo_o,vivienda_material_piso,vivienda_material_piso_o,vivienda_tipo,vivienda_tipo_o,vivienda_cuartos,vivienda_dormitorios,cocina_tiene,cocina_quien,cocina_donde_dormir,cocina_privada,cocina_combustible,cocina_combustible_o,agua_fuente,agua_fuente_o,agua_fuente_donde,agua_fuente_donde_o,agua_pub_priv,agua_almacena,agua_almacena_lavar,agua_trata,agua_trata_hervir,agua_trata_clorar,agua_trata_filtrar,agua_trata_asolear,agua_trata_otro,agua_trata_otro_esp,serv_san_tipo,serv_san_tipo_o,basura_deshacer,basura_deshacer_o,transporte_bicicleta,transporte_motocicleta,transporte_motoneta,transporte_carro,transporte_pickup,transporte_camion,transporte_bestia,transporte_lancha,bienes_luz,bienes_solar,bienes_television,bienes_refri,bienes_telefonofija,bienes_celular,bienes_lavadora,bienes_secadora,bienes_microondas,bienes_computadora,bienes_radio,bienes_aire_acond,bienes_vent_cedazo,lavado_manos_donde,lavado_manos_agua,lavado_manos_jabonbarra,lavado_manos_detergente,lavado_manos_jabonliq,lavado_manos_nojabon,jabon_hogar,jabon_hogar_barra,jabon_hogar_detergente,jabon_hogar_liq,jabon_hogar_nohay,jabon_hogar_nomostro,idioma_hogar,idioma_hogar_o,migrar_trabajar,migrar_trabajar_donde,migrar_trabajar_donde_o,benef_gob_alim_escolar,benef_gob_beca_escolar,benef_gob_util_escolar,benef_gob_vitacereal,benef_gob_raciones,benef_gob_microcredito,benef_gob_insumos_agri,benef_gob_mibonoseguro,benef_gob_otro,benef_gob_otro_esp,benef_ong_mercycorps,benef_ong_pma,benef_ong_share,benef_ong_fundazucar,benef_ong_savechildren,benef_ong_visionmundial,benef_ong_crs,benef_ong_iglesias,benef_ong_otro,benef_ong_otro_esp,remesas,elcsa_1,elcsa_2,elcsa_3,elcsa_4,elcsa_5,elcsa_6,elcsa_7,elcsa_8,elcsa_10,elcsa_11,elcsa_12,elcsa_13,elcsa_14,elcsa_15,elcsa_16,elcsa_puntaje,elcsa_categorias,elcsa_ninos,sal_gruesa,sal_gruesa_libras,sal_gruesa_frec,sal_gruesa_frec_uni,sal_gruesa_casa,sal_gruesa_mostrada,sal_gruesa_marca,sal_gruesa_marca_esp,sal_gruesa_marca_pais,sal_gruesa_yodo_etiq,sal_mesa,sal_mesa_libras,sal_mesa_frec,sal_mesa_frec_uni,sal_mesa_casa,sal_mesa_mostrada,sal_mesa_marca,sal_mesa_marca_esp,sal_mesa_marca_pais,sal_mesa_yodo_etiq,sal_ganado,sal_ganado_libras,sal_ganado_frec,sal_ganado_frec_uni,sal_ganado_casa,sal_ganado_mostrada,sal_ganado_marca,sal_ganado_marca_esp,sal_ganado_marca_pais,sal_ganado_yodo_etiq,sal_mina,sal_mas_usada,sal_mas_usada_o,sal_muestra_recolecto,sal_muestra_etiq,azuc_morena,azuc_morena_libras,azuc_morena_frec,azuc_morena_frec_uni,azuc_morena_casa,azuc_morena_mostrada,azuc_morena_marca,azuc_morena_marca_esp,azuc_morena_marca_pais,azuc_morena_vita_etiq,azuc_morena_hierro_etiq,azuc_morena_ojo,azuc_morena_fecven,azuc_morena_fecven_esp,azuc_morena_ing_vita,azuc_morena_ing_hierro,azuc_stand,azuc_stand_libras,azuc_stand_frec,azuc_stand_frec_uni,azuc_stand_casa,azuc_stand_mostrada,azuc_stand_marca,azuc_stand_marca_esp,azuc_stand_marca_pais,azuc_stand_vita_etiq,azuc_stand_hierro_etiq,azuc_stand_ojo,azuc_stand_fecven,azuc_stand_fecven_esp,azuc_stand_ing_vita,azuc_stand_ing_hierro,azuc_blanca,azuc_blanca_libras,azuc_blanca_frec,azuc_blanca_frec_uni,azuc_blanca_casa,azuc_blanca_mostrada,azuc_blanca_marca,azuc_blanca_marca_esp,azuc_blanca_marca_pais,azuc_blanca_vita_etiq,azuc_blanca_hierro_etiq,azuc_blanca_ojo,azuc_blanca_fecven,azuc_blanca_fecven_esp,azuc_blanca_ing_vita,azuc_blanca_ing_hierro,azuc_panela,azuc_mas_usada,azuc_mas_usada_o,azuc_muestra_recolecto,azuc_muestra_etiq,pan_dulce,pan_dulce_unidades,pan_dulce_frec,pan_dulce_frec_uni,pan_dulce_casa,pan_dulce_mostrado,pan_dulce_marca,pan_dulce_marca_esp,pan_dulce_marca_pais,pan_dulce_hierro_etiq,pan_desab,pan_desab_unidades,pan_desab_frec,pan_desab_frec_uni,pan_desab_casa,pan_desab_mostrado,pan_desab_marca,pan_desab_marca_esp,pan_desab_marca_pais,pan_desab_hierro_etiq,harina_maiz,harina_maiz_libras,harina_maiz_frec,harina_maiz_frec_uni,harina_maiz_casa,harina_maiz_mostrada,harina_maiz_marca,harina_maiz_marca_esp,harina_maiz_marca_pais,harina_maiz_hierro_etiq
GHCUES1515,3,01-Si,01-Si,01-Si,,,,,,2201080,183,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,34140,,,34860,,,5,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,07-Torta de cemento,,01-Casa formal,,4,1,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,01-Público,02-Recipiente tapado,02-Cada dos días o con menos frecuencia,02-No tratan el agua,,,,,,,"05-Letrina, pozo ciego, excusado",,"01-La botan al patio, quebrada, río, lote",,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,96-Otra razón,,No,No,No,No,01-Si,,,,,01-Si,01-Español,,02-No,,,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,11,Inseguridad alimentaria grave,01-Si,1-Si,1,8,1-Días,01-Si,02-No,,,,,1-Si,2,1,3-Meses,02-No,,,,,,2-No,,,,,,,,,,2-No,,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,5,15,1-Días,01-Si,02-No,,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,,,02-No,,01-Si,6,4,1-Días,02-No,,,,,,01-Si,2,4,1-Días,02-No,,,,,,02-No,,,,,,,,,
GHCUES1516,1,02-No,02-No,01-Si,,,,,,2201080,170,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,42420,,,43440,,,7,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,06-Piso cerámico,,01-Casa formal,,3,3,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,03-Comité de agua,03-No almacena,,02-No tratan el agua,,,,,,,"05-Letrina, pozo ciego, excusado",,02-La queman o entierran,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,Yes,No,No,,,,,,,01-Español,,02-No,,,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,5,Inseguridad alimentaria leve,01-Si,2-No,,,,,,,,,,1-Si,4,1,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,02-Sal de mesa (sal fina),,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,15,1,3-Meses,01-Si,01-Si,02-Marca nacional,CAÑA REAL,,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","02-No, no tiene fecha vencimiento",21230,03-No hay lista,03-No hay lista,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,12,1,1-Días,02-No,,,,,,01-Si,8,1,1-Días,02-No,,,,,,01-Si,6,1,3-Meses,02-No,,,,,
GHCUES1517,6,01-Si,02-No,01-Si,18.65621568170131,,,,,2201080,213,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,52319.99999999999,,,54000,,,9,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,05-Ladrillo de cemento (mosaico) granito,,01-Casa formal,,3,2,01-Si,2,02-No,01-Privado,04-Leña,,09-Agua embotellada,,,,,,,,,,,,,,"05-Letrina, pozo ciego, excusado",,02-La queman o entierran,,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Inseguridad alimentaria leve,01-Si,1-Si,1,4,1-Días,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,01-Si,GHSAL1517,2-No,,,,,,,,,,,,,,,,1-Si,60,1,3-Meses,01-Si,01-Si,02-Marca nacional,DON JUSTO CABAL,,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21244,03-No hay lista,03-No hay lista,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,10,2,1-Días,01-Si,01-Si,01-Sin marca,,,,01-Si,10,2,1-Días,02-No,,,,,,01-Si,4,1,3-Meses,02-No,,,,,
GHCUES1518,6,01-Si,02-No,01-Si,,,,,,2201080,192,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,58559.99999999999,,,60000.00000000001,,,6,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,06-Piso cerámico,,01-Casa formal,,2,2,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,03-Comité de agua,02-Recipiente tapado,01-Diario,02-No tratan el agua,,,,,,,"05-Letrina, pozo ciego, excusado",,03-La botan en un basurero público,,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Inseguridad alimentaria leve,01-Si,1-Si,1,8,1-Días,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,15,15,1-Días,01-Si,01-Si,02-Marca nacional,CAÑA REAL,,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21216,03-No hay lista,03-No hay lista,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,8,2,1-Días,02-No,,,,,,01-Si,8,2,1-Días,01-Si,01-Si,01-Sin marca,,,,01-Si,2,15,1-Días,01-Si,01-Si,02-Marca nacional,MASECA,,"01-Si, dice hierro"
GHCUES1519,1,02-No,02-No,02-No,,,,,,2201080,194,2-Rural,Retalhuleu,1,21084,01-Completa,,,,,,01-Español,02-No,01-Español,56880,,,57480,,,1,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,07-Torta de cemento,,01-Casa formal,,1,1,01-Si,1,02-No,02-Compartido,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,03-Comité de agua,03-No almacena,,02-No tratan el agua,,,,,,,"05-Letrina, pozo ciego, excusado",,"01-La botan al patio, quebrada, río, lote",,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,0,0,1,1,0,1,1,0,,,,,,,,4,Inseguridad alimentaria moderada,02-No,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,96-Otro,No Usa Sal,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,1,1,2-Semanas,02-No,,,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,2,1,2-Semanas,02-No,,,,,,01-Si,2,2,1-Días,02-No,,,,,,02-No,,,,,,,,,
GHCUES1520,1,01-Si,01-Si,01-Si,,,,,,2201080,178,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,51480,,,52140,,,7,04-Cedida/prestada,,03-Block,,03-Lámina de zinc/metálica,,07-Torta de cemento,,01-Casa formal,,1,1,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,03-Comité de agua,03-No almacena,,02-No tratan el agua,,,,,,,06-No tiene sanitario,,"01-La botan al patio, quebrada, río, lote",,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,"01-Sí, observado","01-Si, observado",Yes,Yes,No,No,,,,,,,01-Español,,02-No,,,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,Inseguridad alimentaria grave,01-Si,1-Si,2,15,1-Días,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,1,1,1-Días,01-Si,01-Si,01-Sin marca,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,16,1,2-Semanas,02-No,,,,,,01-Si,4,1,2-Semanas,02-No,,,,,,02-No,,,,,,,,,
GHCUES1521,5,01-Si,02-No,02-No,1,< 1.0,,,,2201080,183,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,33720,,,34799.99999999999,,,3,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,01-Piso natural (tierra/arena),,01-Casa formal,,2,1,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,98-No sabe/no responde,02-Recipiente tapado,01-Diario,02-No tratan el agua,,,,,,,"05-Letrina, pozo ciego, excusado",,02-La queman o entierran,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,1,1,1,0,1,,0,0,0,0,0,0,0,0,,,01-Si,1-Si,1,1,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,01-Si,GHSAL1521,2-No,,,,,,,,,,,,,,,,1-Si,2,15,1-Días,01-Si,01-Si,02-Marca nacional,DON JUSTO CABAL,GUATEMALA,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21244,"02-No, lista no dice vitamina A","02-No, lista no dice hierro",2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,01-Si,GHAZUC1521,01-Si,6,2,1-Días,02-No,,,,,,01-Si,4,2,1-Días,02-No,,,,,,01-Si,2,1,3-Meses,02-No,,,,,
GHCUES1522,4,01-Si,02-No,02-No,,,,,,2201080,189,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,57600,,,58500,,,2,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,05-Ladrillo de cemento (mosaico) granito,,01-Casa formal,,2,2,01-Si,2,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,01-Público,02-Recipiente tapado,01-Diario,02-No tratan el agua,,,,,,,06-No tiene sanitario,,02-La queman o entierran,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",No,Yes,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inseguridad alimentaria leve,01-Si,1-Si,4,2,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,02-No,,1-Si,10,3,3-Meses,02-No,,,,,,,,,,,,1-Si,10,3,3-Meses,01-Si,01-Si,01-Sin marca,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,5,2,1-Días,02-No,,,,,,01-Si,5,2,1-Días,02-No,,,,,,02-No,,,,,,,,,
GHCUES1523,5,01-Si,02-No,01-Si,,,,,,2201080,203,2-Rural,Retalhuleu,2,21085,01-Completa,,,,,,01-Español,02-No,01-Español,35820,,,36960,,,4,01-Propia y totalmente pagada,,03-Block,,03-Lámina de zinc/metálica,,06-Piso cerámico,,01-Casa formal,,3,3,01-Si,2,02-No,01-Privado,01-Gas propano,,09-Agua embotellada,,,,,,,,,,,,,,01-Inodoro privado conectado a alcantarillado,,04-Recolector municipal,,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,"01-Sí, observado","01-Si, observado",No,No,Yes,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seguridad alimentaria,01-Si,1-Si,2,1,3-Meses,01-Si,01-Si,01-Sin marca,,,,1-Si,1,3,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,5,10,1-Días,01-Si,01-Si,01-Sin marca,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,12,1,1-Días,01-Si,01-Si,01-Sin marca,,,,01-Si,4,2,1-Días,01-Si,01-Si,01-Sin marca,,,,02-No,,,,,,,,,
GHCUES1524,3,02-No,02-No,02-No,,,,,,2201080,209,2-Rural,Retalhuleu,1,21084,01-Completa,,,,,,01-Español,02-No,01-Español,62520,,,63420,,,2,03-Alquilada,,03-Block,,03-Lámina de zinc/metálica,,07-Torta de cemento,,01-Casa formal,,1,1,02-No,2,02-No,01-Privado,01-Gas propano,,01-Red pública acueducto,,01-Dentro de la casa,,01-Público,03-No almacena,,02-No tratan el agua,,,,,,,03-Inodoro conectado a fosa séptica,,02-La queman o entierran,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,0,0,0,0,0,0,0,,,,,,,,1,Inseguridad alimentaria leve,02-No,1-Si,1,15,1-Días,01-Si,02-No,,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,,,02-No,,1-Si,25,15,1-Días,01-Si,02-No,,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,,,02-No,,01-Si,5,15,1-Días,02-No,,,,,,02-No,,,,,,,,,,02-No,,,,,,,,,
GHCUES1525,5,01-Si,02-No,02-No,1.197229205320583,,,,,2201080,213,2-Rural,Retalhuleu,3,21084,01-Completa,,,,,,01-Español,02-No,01-Español,57420,,,58379.99999999999,,,5,04-Cedida/prestada,,04-Lámina,,03-Lámina de zinc/metálica,,01-Piso natural (tierra/arena),,05-Casa improvisada,,1,1,01-Si,2,02-No,01-Privado,01-Gas propano,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,01-Público,03-No almacena,,02-No tratan el agua,,,,,,,01-Inodoro privado conectado a alcantarillado,,02-La queman o entierran,,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,7,Inseguridad alimentaria moderada,01-Si,1-Si,5,3,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,01-Si,GHSAL1525,2-No,,,,,,,,,,,,,,,,1-Si,25,1,3-Meses,01-Si,01-Si,02-Marca nacional,CAÑA REAL,GUATEMALA,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21244,03-No hay lista,"02-No, lista no dice hierro",2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,8,8,1-Días,02-No,,,,,,01-Si,8,8,1-Días,02-No,,,,,,01-Si,2,4,1-Días,02-No,,,,,
GHCUES1526,5,01-Si,02-No,01-Si,,,,,,2201080,205,2-Rural,Retalhuleu,2,21084,01-Completa,,,,,,01-Español,02-No,01-Español,39900,,,41040,,,5,04-Cedida/prestada,,03-Block,,03-Lámina de zinc/metálica,,07-Torta de cemento,,01-Casa formal,,2,1,01-Si,2,01-Si,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,01-Público,02-Recipiente tapado,01-Diario,01-Tratan el agua,01-Si,02-No,02-No,02-No,02-No,,01-Inodoro privado conectado a alcantarillado,,03-La botan en un basurero público,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,9,Inseguridad alimentaria moderada,01-Si,1-Si,2,1,3-Meses,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,01-Sal gruesa/granuda,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,10,15,1-Días,01-Si,01-Si,02-Marca nacional,CAÑA REAL,GUATEMALA,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21216,"02-No, lista no dice vitamina A",03-No hay lista,2-No,,,,,,,,,,,,,,,,2-No,03-Azúcar estandar,,02-No,,01-Si,6,2,1-Días,02-No,,,,,,01-Si,8,3,1-Días,02-No,,,,,,02-No,,,,,,,,,
GHCUES1527,3,01-Si,02-No,01-Si,,,,,,2201080,206,2-Rural,Retalhuleu,1,21084,01-Completa,,,,,,01-Español,02-No,01-Español,43440,,,44219.99999999999,,,5,04-Cedida/prestada,,03-Block,,03-Lámina de zinc/metálica,,01-Piso natural (tierra/arena),,01-Casa formal,,1,1,01-Si,1,02-No,01-Privado,04-Leña,,01-Red pública acueducto,,02-Fuera de la casa en el patio o lote,,01-Público,03-No almacena,,02-No tratan el agua,,,,,,,01-Inodoro privado conectado a alcantarillado,,02-La queman o entierran,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,96-Otra razón,,No,No,No,No,01-Si,,,,,01-Si,01-Español,,02-No,,,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,11,Inseguridad alimentaria grave,01-Si,1-Si,1,8,1-Días,01-Si,02-No,,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,4,8,1-Días,01-Si,02-No,,,,,,,,,,,2-No,,,,,,,,,,,,,,,,2-No,,,02-No,,01-Si,10,1,1-Días,02-No,,,,,,01-Si,10,2,1-Días,02-No,,,,,,02-No,,,,,,,,,
GHCUES1528,3,01-Si,02-No,02-No,,,,,,2201080,204,2-Rural,Retalhuleu,4,21085,01-Completa,,,,,,01-Español,02-No,01-Español,32700.00000000001,,,33360,,,5,04-Cedida/prestada,,05-Madera,,03-Lámina de zinc/metálica,,01-Piso natural (tierra/arena),,01-Casa formal,,1,1,01-Si,2,02-No,01-Privado,04-Leña,,09-Agua embotellada,,,,,,,,,,,,,,04-Excusado lavable,,02-La queman o entierran,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,"01-Sí, observado","01-Si, observado",Yes,No,No,No,,,,,,,01-Español,,02-No,,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,02-No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,Inseguridad alimentaria grave,01-Si,1-Si,1,8,1-Días,01-Si,01-Si,01-Sin marca,,,,2-No,,,,,,,,,,2-No,,,,,,,,,,2-No,,,02-No,,2-No,,,,,,,,,,,,,,,,1-Si,1,3,1-Días,01-Si,01-Si,02-Marca nacional,CAÑA REAL,,"01-Si, dice vitamina A","02-No, no dice hierro","01-Si, empaque tiene ojo rojo/verde","01-Si, tiene fecha vencimiento",21215,03-No hay lista,03-No hay lista,2-No,,,,,,,,,,,,,,,,2-No,,,02-No,,01-Si,20,3,1-Días,02-No,,,,,,01-Si,10,3,1-Días,02-No,,,,,,02-No,,,,,,,,,
